Rainfall_mm,Temperature_C,Humidity_percent,Soil_Type,Soil_pH,Fertilizer_kg_per_acre,Pesticide_litre_per_acre,Crop_Type,Cultivated_Area_acres,Season,Risk_Category
1476,34.4,79,Red,8.36,104,9.2,Wheat,14.37,Rabi,Moderate Risk
1210,35.2,54,Clay,8.17,185,11.3,Rice,18.3,Kharif,High Risk
1480,18.1,35,Black,5.69,263,8.8,Cotton,12.87,Rabi,Moderate Risk
1445,28.2,42,Sandy,5.24,278,9.2,Wheat,7.38,Kharif,Moderate Risk
1394,26.3,80,Black,5.35,216,8.9,Rice,16.68,Kharif,Low Risk
471,22.4,50,Red,5.06,102,6.3,Sugarcane,7.9,Rabi,High Risk
816,20.4,48,Sandy,5.33,256,5.7,Maize,1.65,Kharif,Moderate Risk
1588,24.8,46,Red,7.39,216,13.6,Groundnut,16.78,Kharif,Low Risk
680,36.9,85,Clay,5.25,137,9.5,Sugarcane,7.56,Summer,High Risk
437,24.5,57,Loamy,6.12,144,4.4,Rice,15.7,Kharif,Moderate Risk
1473,28.4,49,Sandy,7.96,138,8.0,Sugarcane,7.89,Rabi,Moderate Risk
1221,32.1,62,Clay,5.08,45,5.6,Maize,17.36,Rabi,Moderate Risk
480,25.3,68,Clay,7.85,236,14.1,Rice,5.17,Kharif,High Risk
1119,37.4,36,Sandy,5.99,172,1.1,Sugarcane,19.52,Summer,High Risk
693,37.2,66,Red,5.41,298,4.2,Groundnut,15.82,Summer,Moderate Risk
1155,23.0,57,Clay,7.44,62,6.1,Groundnut,3.17,Kharif,High Risk
735,27.9,56,Black,7.2,92,7.8,Wheat,11.75,Kharif,Low Risk
1565,24.0,85,Clay,8.07,204,12.9,Sugarcane,19.72,Rabi,Low Risk
1305,23.7,59,Red,7.57,241,2.2,Cotton,9.95,Kharif,Moderate Risk
626,18.7,56,Red,7.81,122,12.3,Sugarcane,4.46,Summer,High Risk
1534,30.2,56,Black,5.99,184,1.8,Rice,10.21,Kharif,Low Risk
809,28.1,83,Clay,5.62,124,12.8,Rice,10.74,Rabi,High Risk
371,19.0,86,Red,7.63,117,1.7,Sugarcane,15.09,Rabi,Low Risk
602,23.6,76,Sandy,7.82,40,1.3,Maize,14.28,Rabi,Moderate Risk
1097,36.2,40,Loamy,8.47,90,10.8,Groundnut,8.65,Rabi,High Risk
1206,22.8,49,Loamy,6.44,212,15.0,Rice,5.14,Rabi,Low Risk
824,20.9,88,Loamy,6.3,244,13.6,Groundnut,13.26,Kharif,Moderate Risk
1432,27.8,77,Clay,7.72,299,9.1,Rice,9.01,Kharif,Low Risk
860,37.7,71,Black,6.19,73,13.8,Wheat,3.51,Kharif,High Risk
1049,22.8,67,Red,8.26,134,1.1,Cotton,18.11,Kharif,Low Risk
1325,31.4,42,Sandy,8.0,111,14.7,Rice,14.13,Rabi,Moderate Risk
539,33.2,87,Sandy,6.5,78,7.9,Groundnut,13.98,Summer,Low Risk
1307,22.8,78,Clay,7.63,193,11.1,Wheat,16.63,Kharif,Low Risk
1036,32.6,78,Loamy,7.64,289,12.5,Rice,11.06,Summer,Low Risk
